"filename", "language", "Rust", "Markdown", "comment", "blank", "total"
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\query_lang_compiler_notes.md", "Markdown", 0, 134, 0, 10, 144
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\main.rs", "Rust", 1, 0, 0, 1, 2
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser.rs", "Rust", -27, 0, 0, -8, -35
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser\calculated_value.rs", "Rust", 145, 0, 0, 41, 186
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser\compared_value.rs", "Rust", 16, 0, 0, 3, 19
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser\constant_calculated_value.rs", "Rust", 130, 0, 0, 33, 163
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser\insert_statement.rs", "Rust", 67, 0, 0, 24, 91
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\query_parser\select_statement.rs", "Rust", 50, 0, 0, 3, 53
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\src\rel_alg_ast.rs", "Rust", 44, 0, 0, 3, 47
"Total", "-", 426, 134, 0, 110, 670